issue_number,title,description,label,all_labels,created_at,closed_at,url
330127,Integrated Browser displays as an unaccepted value in editorAssociations,"1. Open an html file and configure browser as the default
   <img width=""449"" height=""144"" alt=""Image"" src=""https://github.com/user-attachments/assets/3342b44d-a180-4c31-9b35-510ff590372a"" />
2. Go to the `workbench.editorAssociations` setting and notice the error
   <img width=""685"" height=""330"" alt=""Image"" src=""https://github.com/user-attachments/assets/dae76248-07f9-4f71-890f-56186d8eb3b5"" />",bug,"bug,unreleased",2026-08-10T22:50:43Z,2026-08-10T23:43:59Z,https://github.com/microsoft/vscode/issues/330127
330126,Integrated Browser shows up as available editor for remote file resources,"1. Open a remote workspace
2. Open an HTML file
3. Notice the browser can be selected to display the file, but selecting it does nothing (as browser currently doesn't support remote file resources)
   <img src=""https://github.com/user-attachments/assets/eefd473b-c399-47db-b819-c4ab829eff74"" alt=""Image"" width=""281"" height=""125"">

",bug,"bug,unreleased",2026-08-10T22:43:23Z,2026-08-10T23:43:58Z,https://github.com/microsoft/vscode/issues/330126
329988,no info when downloading dictation model,"![Image](https://github.com/user-attachments/assets/fd296b60-a6d2-4d87-b5ca-5cae3c6de583)

",bug,"bug,unreleased,dictation",2026-08-10T15:52:20Z,2026-08-10T18:57:24Z,https://github.com/microsoft/vscode/issues/329988
329982,Deleting an archived session throws an error,"<img width=""725"" height=""294"" alt=""Image"" src=""https://github.com/user-attachments/assets/f3716f71-fcb4-4925-be83-8dd09193677a"" />",bug,"bug,unreleased,agent-host",2026-08-10T15:42:45Z,2026-08-11T02:21:10Z,https://github.com/microsoft/vscode/issues/329982
329963,Custom Endpoint/BYOK: empty tool_calls:[] in chat-completions SSE delta silently drops content text,"## Environment
- VS Code version: 1.132.0
- Copilot Chat extension version: 0.60.0
- Provider: Custom Endpoint (`vendor: ""customendpoint""`), `apiType: ""chat-completions""`
- Backend: self-hosted vLLM 0.22.1 (OpenAI-compatible `/v1/chat/completions`, streaming)
- Model tested: `moonshotai/Kimi-K2.6` (reproducible on any model behind this backend)

## Summary
When a Custom Endpoint / BYOK chat-completions model streams a delta chunk that includes an **empty** `tool_calls` array alongside real `content` (e.g. `{""content"":"" I"",""tool_calls"":[]}`), the response text is silently discarded. The request completes successfully (`finish_reason:""stop""`), output tokens are correctly counted/billed, but the chat UI shows ""Sorry, no response was returned"" because no text ever reaches the chat view.

## Root cause
In `extensions/copilot/src/platform/networking/node/stream.ts`, `SSEProcessor.processSSEInner()`:

```ts
let handled = true;
if (choice.delta?.tool_calls) {
    // ... StreamingToolCalls.update(choice) — iterates the array, no-op if empty
} else if (/* other cases */) {
    ...
} else {
    handled = false;
}

if (!handled) {
    solution.append(choice); // <-- this reads choice.delta.content
    if (await emitSolution()) { continue; }
}
```

`if (choice.delta?.tool_calls)` only checks **truthiness**. An empty array `[]` is truthy in JavaScript, so this branch is entered even when there are zero actual tool calls. Because the branch is entered, `handled` stays `true` (it's never reset to `false`), so the final `if (!handled) { solution.append(choice); ... }` — the only code path that reads `choice.delta.content` — is skipped. The real text in that delta is dropped.

This repeats on every content-bearing chunk in the stream if the backend attaches `tool_calls: []` to all of them (confirmed via raw curl capture — see below), so 100% of the model's answer text is lost, chunk by chunk, while the model still finishes normally and tokens are still billed.

## Suggested fix
Check for a non-empty array instead of mere presence:

```ts
if (choice.delta?.tool_calls?.length) {
```

## Reproduction
Raw SSE captured directly from the backend for a trivial prompt (""what model are you""), replayed with the exact request VS Code sent (temperature, tools, messages all identical):

```
data: {""choices"":[{""index"":0,""delta"":{""role"":""assistant"",""content"":""""},""finish_reason"":null}], ...}
data: {""choices"":[{""index"":0,""delta"":{""reasoning"":"" The""},""finish_reason"":null}], ...}
... (reasoning deltas omitted) ...
data: {""choices"":[{""index"":0,""delta"":{""content"":"" I"",""tool_calls"":[]},""finish_reason"":null}], ...}
data: {""choices"":[{""index"":0,""delta"":{""content"":"" am"",""tool_calls"":[]},""finish_reason"":null}], ...}
data: {""choices"":[{""index"":0,""delta"":{""content"":"" using"",""tool_calls"":[]},""finish_reason"":null}], ...}
...
data: {""choices"":[{""index"":0,""delta"":{""content"":""**."",""tool_calls"":[]},""finish_reason"":null}], ...}
data: {""choices"":[{""index"":0,""delta"":{},""finish_reason"":""stop""}], ...}
data: [DONE]
```

- `system_fingerprint: vllm-0.22.1-tp8-327f7987`
- The reasoning field is delivered as `delta.reasoning` (not `reasoning_content`), which is a separate (correctly handled) quirk.
- Sending the identical request directly via `curl`/Node `https` against the backend reproduces this SSE shape 100% of the time (6/6 test runs).
- A local proxy that strips the empty `tool_calls` key from delta chunks before they reach VS Code fully resolves the issue, confirming the root cause above.

## How other clients handle this (comparison)
The AI SDK's `@ai-sdk/openai-compatible` provider (used by Opencode and others) does not have this issue, because it checks `content`, `reasoning`, and `tool_calls` as **independent, sequential conditions** on each delta, rather than routing the whole chunk through one mutually-exclusive branch with a shared ""handled"" flag:

```ts
// simplified from openai-compatible-chat-language-model.ts doStream()
if (delta.content) {
  controller.enqueue({ type: 'text-delta', delta: delta.content });
}
if (delta.tool_calls != null) {
  for (const toolCallDelta of delta.tool_calls) {
    processToolCallDelta(toolCallDelta); // no-op on an empty array
  }
}
```

Both checks always run. An empty `tool_calls` array just produces a zero-iteration loop — it never gates or suppresses the `content` branch. This confirms the suggested fix (`choice.delta?.tool_calls?.length` instead of `choice.delta?.tool_calls`) brings VS Code's parser in line with how comparable OpenAI-compatible streaming clients already handle this exact backend behavior.

## Impact
Any BYOK/Custom Endpoint chat-completions model behind a backend that includes an empty `tool_calls` array on content deltas (observed with vLLM 0.22.1) will silently fail in VS Code Copilot Chat — the model answers correctly and is billed, but the user sees no response at all. Other tools that guard with `tool_calls.length` (or iterate an array and no-op on empty) are unaffected by this same backend behavior.
",bug,"bug,unreleased,model-byok",2026-08-10T14:39:32Z,2026-08-10T18:37:32Z,https://github.com/microsoft/vscode/issues/329963
329938,SSH agent host ignores StrictHostKeyChecking yes/no because ssh -G emits true/false,"## Summary

SSH remote agent hosts ignore `StrictHostKeyChecking yes`, `no`, and `off` because `ssh -G` normalizes those values to `true` and `false`, while VS Code only recognizes the original spellings.

This is a follow-up to microsoft/vscode#329462 / microsoft/vscode-internalbacklog#8734. The host-key verification itself is working and fails safely, but the promised OpenSSH policy compatibility is incomplete.

## Environment

- VS Code: `1.133.0-insider`
- Commit: `5a36a9c68ce6300f94225aff5f8db533671af98b`
- Local OS: macOS `26.5.2` (`arm64`), system `/usr/bin/ssh`
- Also reproduced with OpenSSH `9.2p1` on Debian 12
- Extensions disabled: not applicable; this is the built-in SSH remote agent host

## Reproduction

1. Configure an SSH remote agent host with verification disabled:

   ```ssh-config
   Host host-key-test
       HostName 127.0.0.1
       Port 62222
       User node
       IdentityFile ~/.ssh/codespaces.auto
       StrictHostKeyChecking no
       UserKnownHostsFile /dev/null
   ```

2. Inspect the effective configuration:

   ```sh
   ssh -G host-key-test | grep -E '^(stricthostkeychecking|userknownhostsfile) '
   ```

   Output:

   ```text
   stricthostkeychecking false
   userknownhostsfile /dev/null
   ```

3. In the Agents window, run **Agents: Connect to Remote Agent Host via SSH** and select `host-key-test`.

4. VS Code prompts:

   ```text
   The authenticity of host 'host-key-test' can't be established.
   ```

   This is incorrect for `StrictHostKeyChecking no`.

Both macOS OpenSSH and Debian OpenSSH `9.2p1` produce this normalization matrix:

```text
yes        -> true
no         -> false
ask        -> ask
accept-new -> accept-new
off        -> false
```

## Root cause

`parseSSHGOutput` reads the normalized value emitted by `ssh -G` and passes it through `isSSHStrictHostKeyChecking`:

- https://github.com/microsoft/vscode/blob/5a36a9c68ce6300f94225aff5f8db533671af98b/src/vs/platform/agentHost/common/sshConfigParsing.ts#L75-L88
- https://github.com/microsoft/vscode/blob/5a36a9c68ce6300f94225aff5f8db533671af98b/src/vs/platform/agentHost/common/sshRemoteAgentHost.ts#L263-L268

The accepted values are only:

```ts
'ask' | 'accept-new' | 'yes' | 'no' | 'off'
```

Therefore `true` and `false` become `undefined`. An unknown key then follows the default `ask` path instead of the user's configured policy.

## Expected behavior

Normalize effective OpenSSH boolean spellings before applying policy:

- `true` → `yes`
- `false` → `no` (equivalent to `off` for this policy)

The resulting behavior should remain:

- `yes`: reject an unknown key without prompting.
- `no` / `off`: accept an unknown key silently without persisting it.
- `ask`: prompt on an unknown key.
- `accept-new`: accept and persist an unknown key silently.
- Changed and revoked keys still hard-fail regardless of the `no` / `off` opt-out, as implemented by #329462.

## Impact

This is fail-closed rather than a security bypass: users receive an unexpected trust prompt. However, it means common OpenSSH configurations do not behave as configured, and the `StrictHostKeyChecking` compatibility added by #329462 cannot currently be verified for `yes`, `no`, or `off`.

GitHub Codespaces configurations generated by `gh codespace ssh --config` use `StrictHostKeyChecking no`, so this is readily observable when connecting a Codespace through an SSH transport.

## Suggested tests

- Add `parseSSHGOutput` cases for `stricthostkeychecking true` and `false`.
- Cover all five user-facing values through their effective `ssh -G` forms.
- Verify `false` does not persist an accepted unknown key.
- Verify a mismatch and `@revoked` entry still override `false`.
",bug,"bug,unreleased,agent-host",2026-08-10T11:08:58Z,2026-08-10T22:43:25Z,https://github.com/microsoft/vscode/issues/329938
329911,Panel composite bar looks buggy in agents window,"<img width=""663"" height=""210"" alt=""Image"" src=""https://github.com/user-attachments/assets/caa2ded7-ebb3-4ebf-ad1a-b645803a1f8b"" />

<img width=""477"" height=""196"" alt=""Image"" src=""https://github.com/user-attachments/assets/8e886e2d-0894-4241-8680-cbf7b68b770a"" />

It looks off with both `workbench.panel.showLabels` enabled and disabled",bug,"bug,insiders-released,agents-window,modernization",2026-08-10T08:34:40Z,2026-08-10T10:33:35Z,https://github.com/microsoft/vscode/issues/329911
329880,[Perf] Agent Host listSessions spawns hundreds of Git processes,"## Summary

Reloading the Agents window can leave session details, especially change-summary counts, unavailable for tens of seconds while the local Agent Host handles its first `listSessions` request. During that interval the Agent Host can spawn hundreds of `git worktree list --porcelain` processes.

This regressed with [#328375](https://github.com/microsoft/vscode/pull/328375), which added list-time repair for legacy worktree repository metadata. The repair is needed because archived sessions may never reopen through the normal `WorktreeIsolation` migration path, but it currently runs synchronously before `listSessions` returns.

## Root cause

List-time normalization uses two successful-result caches:

1. A session URI → normalized repository root cache in `AgentService`.
2. A checkout/worktree path → primary repository root cache in `PrimaryWorktreeRootResolver`.

Both caches were capped at 100 entries. A successful `git worktree list --porcelain` stores every worktree path returned by Git. For repositories with hundreds of linked worktrees, inserting one result immediately evicts most of the paths the result was intended to deduplicate. Later sessions miss the cache and spawn Git again.

The work is serialized, so the repeated process launches extend the `listSessions` critical path rather than running concurrently.

## Impact

### Captured slow reload

- Initial AHP `listSessions`: **52.2s**
- Copilot SDK enumeration: **2.6s** for 853 sessions
- Remaining Agent Host enrichment: approximately **49.6s**
- Distinct sampled `getWorktreeRoots → git spawn` invocations: **404**
- Result: 853 sessions, 833 change summaries, approximately 571KB

The renderer cannot display live change-summary counts until that response arrives. The late large update also causes visible renderer work, though multi-second GC pauses in the supplied trace were mostly trace-only V8 object-dump statistics.

### Controlled benchmark

A cold-start benchmark used fresh APFS copy-on-write clones of the same user-data profile on every run:

- 979 sessions
- 613 sessions with persisted worktree repository metadata
- New Code OSS and Agent Host process for each run

| Mode | Git processes | Worktree-normalization wall time |
|---|---:|---:|
| Original 100-entry caches | 543–569 | **69–115s** |
| Caches sized to the catalog | 21–28 | **1.1–2.8s** (median 1.83s) |
| Skip list-time normalization | 0 | **0s** |

The original full `listSessions` request ranged from 55–122s. With catalog-sized caches, the benchmark median was approximately 14.7s, but whole-request time had substantial unrelated SDK/filesystem variability. The directly instrumented normalization barrier is the reliable comparison.

## Proposed fix

- Before list enrichment, ensure both normalization caches can retain at least the complete provider catalog.
- Keep successful resolution semantics and failure retry behavior unchanged.
- Persist the latest aggregate change counts in the existing renderer startup cache so recent session badges render before the live listing completes. Full changesets/diffs remain live-only.

This reduces list-time Git work to roughly one process per relevant repository and removes approximately 97–99% of the normalization cost.

## Follow-up opportunity

Even correctly cached normalization still costs approximately 1–3 seconds for this catalog. The compatibility migration could be moved off the synchronous listing path: return stored metadata immediately, repair legacy roots in the background, persist the corrected value, and publish a summary update.

(Written by Copilot)
",bug,"bug,unreleased,agent-host",2026-08-10T02:36:14Z,2026-08-10T17:08:00Z,https://github.com/microsoft/vscode/issues/329880
329878,Voice mode glow shows up on questions widget,"Seems possibly unintentional? I'm not using voice mode here

https://github.com/user-attachments/assets/2b217576-eb60-46a9-81a4-1dec81dbfea5

Also I know this is new but this animation uses a lot of cpu when the window is otherwise idle and I bet it can be optimized",bug,"bug,unreleased,voice-mode",2026-08-10T02:14:39Z,2026-08-10T18:37:54Z,https://github.com/microsoft/vscode/issues/329878
329847,Chat scroll position is lost when switching sessions,"When switching away from a chat session and then returning to it, the transcript resets to the bottom instead of restoring the previous scroll position. This makes it difficult to compare or continue reading earlier content across sessions.

Expected behavior:
- A transcript that was scrolled up restores its previous position.
- A transcript that was at the bottom remains pinned to the latest content.
- Behavior is consistent across the Chat panel, chat editor tabs, and the Agents window.

Draft fix: [#329844](https://github.com/microsoft/vscode/pull/329844)

(Written by Copilot)",bug,"bug,verified,insiders-released,agent-host",2026-08-09T19:33:01Z,2026-08-09T20:02:47Z,https://github.com/microsoft/vscode/issues/329847
